filename,transcript
01_indiranagar_normal.ogg,Haan main Indiranagar mein rehta hoon
02_koramangala_normal.ogg,Main Koramangala mein hoon
03_whitefield_normal.ogg,Mera ghar Whitefield mein hai
04_electronic_city_normal.ogg,Main Electronic City mein rehta hoon
05_marathahalli_normal.ogg,Mera ghar Marathahalli mein hai
06_jayanagar_normal.ogg,Main Jayanagar side hoon
07_rajajinagar_normal.ogg,Mera ghar Rajajinagar mein hai
08_hebbal_normal.ogg,Main Hebbal ke paas rehta hoon
09_yelahanka_normal.ogg,Main Yelahanka side hoon
10_banashankari_normal.ogg,Mera ghar Banashankari mein hai
11_hsr_layout_normal.ogg,Main HSR Layout mein rehta hoon
12_btm_layout_normal.ogg,Office mera BTM Layout mein hai
13_majestic_normal.ogg,Main Majestic area mein hoon
14_silk_board_normal.ogg,Main Silk Board ke paas rehta hoon
15_bellandur_normal.ogg,Mera ghar Bellandur mein hai
16_sarjapur_normal.ogg,Main Sarjapur side hoon
17_bommanahalli_normal.ogg,Main Bommanahalli mein rehta hoon
18_kr_puram_normal.ogg,Mera ghar KR Puram mein hai
19_peenya_normal.ogg,Main Peenya area mein hoon
20_yeshwanthpur_normal.ogg,Main Yeshwanthpur mein rehta hoon
21_indiranagar_metro_phone.ogg,Haan main Indiranagar mein rehta hoon
22_whitefield_metro_phone.ogg,Mera ghar Whitefield mein hai
23_koramangala_metro_phone.ogg,Main Koramangala mein hoon
24_electronic_city_metro_phone.ogg,Main Electronic City mein rehta hoon
25_marathahalli_metro_phone.ogg,Mera ghar Marathahalli mein hai
26_jayanagar_metro_phone.ogg,Main Jayanagar side hoon
27_rajajinagar_metro_phone.ogg,Mera ghar Rajajinagar mein hai
28_hebbal_metro_phone.ogg,Main Hebbal ke paas rehta hoon
29_yelahanka_metro_phone.ogg,Main Yelahanka side hoon
30_banashankari_metro_phone.ogg,Mera ghar Banashankari mein hai
31_hsr_layout_metro_phone.ogg,Main HSR Layout mein rehta hoon
32_btm_layout_metro_phone.ogg,Office mera BTM Layout mein hai
33_majestic_metro_phone.ogg,Main Majestic area mein hoon
34_silk_board_metro_phone.ogg,Main Silk Board ke paas rehta hoon
35_bellandur_metro_phone.ogg,Mera ghar Bellandur mein hai
36_sarjapur_metro_phone.ogg,Main Sarjapur side hoon
37_bommanahalli_metro_phone.ogg,Main Bommanahalli mein rehta hoon
38_kr_puram_metro_phone.ogg,Mera ghar KR Puram mein hai
39_peenya_metro_phone.ogg,Main Peenya area mein hoon
40_yeshwanthpur_metro_phone.ogg,Main Yeshwanthpur mein rehta hoon
41_indiranagar_metro_earphone.ogg,Haan main Indiranagar mein rehta hoon
42_whitefield_metro_earphone.ogg,Mera ghar Whitefield mein hai
43_koramangala_metro_earphone.ogg,Main Koramangala mein hoon
44_electronic_city_metro_earphone.ogg,Main Electronic City mein rehta hoon
45_marathahalli_metro_earphone.ogg,Mera ghar Marathahalli mein hai
46_jayanagar_metro_earphone.ogg,Main Jayanagar side hoon
47_rajajinagar_metro_earphone.ogg,Mera ghar Rajajinagar mein hai
48_hebbal_metro_earphone.ogg,Main Hebbal ke paas rehta hoon
49_yelahanka_metro_earphone.ogg,Main Yelahanka side hoon
50_banashankari_metro_earphone.ogg,Mera ghar Banashankari mein hai
51_hsr_layout_metro_earphone.ogg,Main HSR Layout mein rehta hoon
52_btm_layout_metro_earphone.ogg,Office mera BTM Layout mein hai
53_majestic_metro_earphone.ogg,Main Majestic area mein hoon
54_silk_board_metro_earphone.ogg,Main Silk Board ke paas rehta hoon
55_bellandur_metro_earphone.ogg,Mera ghar Bellandur mein hai
56_sarjapur_metro_earphone.ogg,Main Sarjapur side hoon
57_bommanahalli_metro_earphone.ogg,Main Bommanahalli mein rehta hoon
58_kr_puram_metro_earphone.ogg,Mera ghar KR Puram mein hai
59_peenya_metro_earphone.ogg,Main Peenya area mein hoon
60_yeshwanthpur_metro_earphone.ogg,Main Yeshwanthpur mein rehta hoon
